speciesname,RearEdge,Optimum,LeadingEdge,RelativeAbundance,TemperatureIndicator,NutrientIndicator,TerminalVelocity,RetInFurCattle,RetInFurSheep,GutSurvival,SeedReleaseHeight,Dispersal,LifeStrategy,LifeSpan,Dominance,NoOfVegOffspings,Persistence
Achillea atrata,373,316,-21,0.26,1,2,1.15,20,82,0.031,14,-0.489710643,css,6,3,4,0.507321449
Achillea clavennae,59,10,-38,0.14,1.5,2,2.38,18,79,0.027,18,0.068183334,css,10,3,2,0.244832848
Acinos alpinus,-44,-39,21,0.77,2,2,2.28,8,57,0.012,18,0.869754486,crs,6,1,5,-0.41747471
Adenostyles alliariae,-122,17,-46,1.1,2,4,0.77,11,88,0.015,85,0.175261138,ccs,2,4,1,1.178155674
Agrostis alpina,-11,7,-60,0.6,1.5,2,1.57,24,100,0.04,15,-0.871928978,crs,35,2,6,0.540163536
Ajuga pyramidalis,-141,-361,-56,0.65,2,2,6.24,9,59,0.012,19,2.062387462,crs,4,1,3,-0.986070132
Androsace chamaejasme,-24,6,-21,0.34,1.5,2,3.48,16,74,0.023,6,0.502558695,crs,20,2,4,-0.206095706
Androsace obtusifolia,-32,-213,-78,0.08,1.5,2,3.04,14,72,0.02,6,0.480269991,css,1,1,1,-1.3702147
Anemonastrum narcissiflorum,262,458,154,0.7,2,3,2.93,1,34,0.005,15,1.789344088,crs,3,1,1,-1.437830881
Arabis bellidifolia s.lat.,-280,182,98,0.21,1.5,2,1.62,6,53,0.038,23,0.829157628,rss,2,1,2,-1.435372892
Arabis caerulea,-28,39,3,0.54,1,2,1.35,6,55,0.04,5,0.5544366,rss,12,1,2,-1.161834089
Arctostaphylos alpinus,158,38,-1,-0.45,1.5,2,3.24,0,14,0.002,23,2.402820293,ccs,122,3,3,2.28453256
Arctostaphylos uva-ursi,285,367,103,0.48,2,2,3.24,0,21,0.002,40,2.397970465,ccs,80,4,1,2.136004819
Arenaria ciliata s.str.,-70,-12,-8,-0.37,1,2,2.04,21,84,0.034,21,-0.224395641,crs,5,1,6,-0.105915559
Aster alpinus,-3,-18,-15,-0.44,2,2,1.83,11,89,0.015,10,-0.117458801,crs,12,2,4,-0.252127432
Avenella flexuosa,-28,206,106,0.1,3,2,1.78,8,84,0.012,22,0.176366084,css,3,4,5,1.90393529
Avenula versicolor,-67,63,22,0.14,1.5,2,1.99,9,84,0.012,28,0.253844343,css,23,2,4,-0.070362621
Bartsia alpina,39,384,-3,0.35,2,3,1.71,22,85,0.035,7,-0.501635831,rss,11,2,4,-0.463720636
Betonica alopecuros,132,-21,-378,0.4,2.5,3,4.05,13,69,0.018,23,1.046474282,ccs,15,2,1,-0.42378561
Botrychium lunaria,63,102,31,0.08,2,2,2.11,20,77,0.104,18,-0.125412485,crs,1,1,1,-1.461197804
Calamagrostis villosa,-62,-11,-4,0,2,2,0.4,33,97,0.067,90,-0.916620885,ccs,48,5,3,1.244416018
Campanula barbata,125,16,-10,0.05,2,2,1.42,44,100,0.118,25,-1.619570384,crs,9,1,1,-1.373571842
Carduus defloratus s.lat.,0,-159,-34,0.83,2.5,3,0.81,5,75,0.008,62,0.488647253,crs,7,2,1,-1.095673779
Carex atrata agg.,-109,-43,6,0.66,1.5,NA,2.24,20,81,0.03,22,-0.057266628,crs,9,2,2,-0.780645736
Carex capillaris,-95,-298,-124,0.42,1.5,1,3.14,16,75,0.023,18,0.471466673,css,28,2,4,0.212311334
Carex ericetorum,-75,-71,-58,-0.34,3,1,4.34,13,69,0.018,20,1.111272416,crs,18,2,4,-0.30785833
Carex ferruginea,527,487,295,0.72,2,3,2.25,12,91,0.018,45,0.223458041,ccs,79,4,4,2.822416479
Carex firma,16,31,-18,0.15,1.5,1,2.26,11,89,0.016,13,0.039249804,css,53,4,2,1.479795736
Carex mucronata,-399,-11,55,-0.5,2.5,2,2.41,11,90,0.016,20,0.127964696,css,60,3,6,1.787151439
Carex ornithopoda agg.,-151,-90,-42,1.29,NA,2,2.17,19,76,0.084,22,4.52E-05,crs,9,2,2,-0.780645736
Carex rupestris,22,-71,-75,-0.64,1.5,1,2.29,14,72,0.02,10,0.273196961,css,27,3,1,0.091107706
Carex sempervirens,-24,-79,-56,0.57,1.5,2,2.87,12,90,0.017,30,0.320336784,css,43,3,4,0.939129573
Cerastium arvense,85,80,81,0.12,4,3,2.44,26,90,0.045,18,-0.441211227,crs,24,3,4,0.52168417
Cerastium carinthiacum,-387,33,24,-0.04,1.5,2,2.17,19,76,0.084,22,4.52E-05,css,39,3,3,0.724226713
Cerastium uniflorum,156,319,43,0.11,1,2,1.43,24,88,0.04,5,-0.747205889,crs,39,3,4,0.701633863
Chaerophyllum villarsii,283,-175,-57,0.95,2,3,1.76,3,41,0.006,24,1.264621832,ccs,4,3,1,0.343906093
Chamorchis alpina,-73,-82,112,-0.47,1.5,1,0.95,73,74,0.446,8,-2.711754255,css,2,1,1,-1.262986001
Cirsium acaule,78,13,126,0.94,2.5,3,0.39,3,69,0.006,12,0.147190073,crs,16,2,4,-0.336248426
Cirsium spinosissimum,-163,-21,38,2.03,1.5,4,0.5,5,75,0.008,45,0.252455497,ccs,7,2,1,-0.388429292
Coeloglossum viride,-171,-38,-1,1.11,2,2,0.97,77,65,0.543,18,-2.671242146,crs,1,1,1,-1.493911514
Crepis jacquinii s.lat.,-260,145,-25,-0.48,1.5,3,2.11,20,77,0.104,18,-0.125412485,css,2,1,1,-1.262986001
Cystopteris fragilis,12,-121,82,-0.05,3,2,2.2,19,75,0.073,24,0.071750506,rss,1,1,1,-1.788067899
Daphne mezereum,44,291,99,0.43,3,3,3.51,4,5,0.001,80,3.005377046,ccs,33,1,2,-0.160142258
Daphne striata,35,-219,-28,0.05,1.5,2,3.26,0,14,0.002,27,2.442522155,ccs,20,1,2,-0.324130027
Dianthus sylvestris,12,-23,44,-0.46,3,2,3.14,5,43,0.026,23,1.563998792,crs,13,2,2,-0.67662677
Draba aizoides agg.,87,-22,-63,-0.11,NA,2,2.56,20,82,0.031,7,-0.098909854,css,41,1,2,-0.630261988
Draba hoppeana,89,-10,-2,-0.2,1,2,2.17,19,76,0.084,22,4.52E-05,css,8,1,2,-0.946455779
Dryas octopetala,93,24,22,0.25,1.5,2,0.89,15,95,0.021,10,-0.695296282,crs,84,3,6,1.882807793
Empetrum nigrum agg.,81,1,53,-0.1,NA,2,6.26,2,30,0.004,15,2.902200748,css,48,3,1,0.209003307
Erigeron alpinus agg. (inkl. uniflorus),111,6,-11,-0.29,1,2,0.99,26,100,0.045,12,-1.158291116,css,7,1,1,-1.201972801
Euphrasia minima,225,-219,-40,0.32,1.5,2,2.67,29,92,0.052,9,-0.594790593,rrs,1,3,2,-0.288383346
Euphrasia officinalis,50,-20,186,1.59,2.5,2,1.73,30,93,0.056,21,-0.854924548,rrs,1,2,2,-1.22104525
Euphrasia salisburgensis,-162,-33,51,0.82,2.5,2,2.13,20,78,0.117,13,-0.209128627,rrs,1,2,2,-1.22104525
Festuca alpina,-46,75,71,0.07,1,1,1.88,29,99,0.053,8,-1.00381474,ccs,72,3,6,2.451354689
Festuca halleri agg.,-24,-47,133,0.5,1.5,2,1.46,19,97,0.029,20,-0.620534823,ccs,51,3,3,1.334308014
Festuca pumila,16,-55,-61,0.49,1,2,1.98,15,95,0.022,21,-0.251098113,css,49,3,4,1.221803528
Festuca varia agg.,96,99,-121,0.56,2,2,2.17,19,76,0.084,22,4.52E-05,ccs,32,5,1,0.455402419
Festuca violacea agg.,-219,-3,-31,0.36,1.5,3,2.35,12,90,0.017,22,0.087407455,ccs,74,4,3,2.572532919
Galium pusillum agg.,21,-15,-17,0.46,NA,2,2.94,20,76,0.032,25,0.296716751,css,8,2,6,0.413682315
Gentiana acaulis,68,-55,34,0.08,1.5,2,3.12,20,81,0.03,8,0.109785357,css,2,2,2,-0.834112013
Gentiana brachyphylla,-82,-69,11,-0.19,1,2,2.08,36,98,0.077,20,-1.087297339,css,13,2,2,-0.553776749
Gentiana nivalis,161,60,-2,-0.31,1.5,2,1.22,52,98,0.168,9,-2.104358407,css,1,1,6,0.038422072
Gentiana orbicularis,-158,0,-52,-0.46,1,2,1.74,23,83,0.186,6,-0.647414481,css,6,2,1,-0.918384487
Gentiana punctata,-7,-26,7,0.02,1.5,2,1.34,4,36,0.018,40,1.321433471,ccs,26,2,3,0.26584479
Gentianella anisodonta,269,168,226,0.64,1.5,2,2.17,19,76,0.084,22,4.52E-05,crs,2,3,3,0.049838272
Gentianella aspera,54,-10,230,-0.17,2.5,2,3.88,31,94,0.06,13,-0.294359592,crs,2,3,3,0.056486425
Gentianella campestris,158,-151,78,-0.19,2,2,2.81,27,90,0.046,20,-0.336915181,crs,1,2,2,-0.885039683
Geranium sylvaticum,-27,137,71,0.42,2.5,4,2.69,2,37,0.005,39,1.81002339,ccs,10,2,1,-0.389987104
Geum montanum,97,-14,69,0.25,1.5,2,1.1,7,81,0.011,23,0.067154146,ccs,6,1,1,-0.826390849
Globularia nudicaulis,-484,-417,-185,0.39,2,2,2.13,14,93,0.02,18,-0.155323419,ccs,16,2,1,-0.279383651
Gnaphalium hoppeanum supinum,216,258,13,-0.05,1.5,2,0.44,18,66,0.037,21,-0.260127576,css,3,2,1,-0.985997102
Hedysarum hedysaroides,-37,-34,-65,0.1,1.5,3,2.06,1,10,0.005,12,1.9860288,ccs,18,2,1,-0.259911215
Helianthemum alpestre,81,59,-13,0.1,1.5,2,4.02,13,68,0.018,24,1.05766844,ccs,23,3,2,0.918732589
Heracleum austriacum,40,-314,-93,1.35,2.5,3,1.89,19,75,0.076,35,0.053291834,crs,2,2,1,-1.155880196
Hieracium alpinum,77,243,80,-0.12,1.5,2,1.06,12,91,0.017,18,-0.382294946,css,2,1,1,-1.262986001
Hieracium glanduliferum,-182,6,31,-0.3,1,2,1.81,23,100,0.036,10,-0.797724596,css,8,1,2,-0.946455779
Hieracium lactucella,2,163,76,-0.54,3,2,0.8,34,96,0.071,23,-1.350170098,crs,35,3,3,0.497357725
Hieracium pilosum villosum,53,-68,202,-0.24,2,2,2.11,14,93,0.019,23,-0.118471857,css,4,2,1,-0.94159993
Homogyne alpina,-20,179,49,0.43,2,2,0.45,14,93,0.019,17,-0.697456421,crs,3,3,2,-0.057231531
Homogyne discolor,256,216,163,2.02,1.5,2,0.65,15,94,0.021,20,-0.665534761,crs,29,3,2,0.192820744
Huperzia selago,316,26,128,-0.33,2,1,4.07,96,225,6.31,13,-13.9124035,css,18,2,3,-0.307808743
Hypochaeris uniflora,34,429,58,-0.28,2,2,0.62,5,76,0.009,33,0.167915045,crs,4,1,2,-1.173324766
Juncus jacquinii,35,-7,-26,0.18,1.5,2,1.01,52,98,0.17,18,-2.104700558,ccs,32,2,3,0.424236256
Juncus monanthos,41,-301,-1,1.54,1.5,2,1.55,7,64,0.057,23,0.51771203,css,27,3,1,0.091107706
Juncus trifidus,120,-12,52,0,1.5,2,1.58,30,94,0.057,14,-0.979477979,css,47,3,4,1.108733946
Juniperus communis,110,122,65,0.24,3.5,2,9.51,0,24,0.003,29,4.253166542,ccs,544,3,6,7.895573534
Kobresia myosuroides,-64,-35,-17,-0.24,1.5,1,3.42,14,71,0.02,20,0.736432214,ccs,96,4,6,3.670438345
Laserpitium halleri,-89,-124,-96,-0.41,2,2,2.26,3,30,0.014,25,1.653278112,ccs,14,2,2,-0.084130352
Leontodon helveticus,30,-10,37,0.43,1.5,2,1.27,9,85,0.013,13,-0.120939572,crs,4,2,3,-0.607304804
Leontodon montanus,2,131,98,-0.07,1,2,1.96,22,81,0.156,7,-0.459072932,crs,4,1,1,-1.426147419
Leontopodium alpinum,60,-7,-42,-0.4,1.5,2,0.31,31,98,0.06,13,-1.51965733,ccs,10,2,1,-0.451520037
Ligusticum mutellina,-31,-148,-105,0.79,1.5,3,3.18,4,44,0.007,43,1.778745522,ccs,5,2,2,-0.150086535
Ligusticum mutellinoides,66,-45,-104,-0.03,1,2,2.04,11,64,0.015,10,0.470374164,crs,4,1,1,-1.487680352
Loiseleuria procumbens,104,-23,113,-0.22,1.5,1,1.04,58,94,0.223,4,-2.386309027,css,78,4,1,1.639109544
Lonicera caerulea,-3,-16,-185,-0.54,2,2,3.39,0,25,0.003,95,2.808426609,ccc,94,2,4,3.314280527
Luzula alpinopilosa,51,73,206,0.82,1,2,2.34,24,88,0.04,20,-0.335561163,css,39,3,3,0.724226713
Luzula lutea,256,165,22,0.08,1.5,2,2.9,36,98,0.076,18,-0.84290177,css,13,2,2,-0.553776749
Luzula sylvatica,-222,-47,-109,0.25,3,2,4.13,14,71,0.02,58,1.277678356,ccs,38,3,1,0.67050877
Minuartia verna agg.,-5,10,11,-0.2,2.5,1,1.98,37,98,0.081,20,-1.162034994,css,13,2,6,0.472099623
Myosotis alpestris,-29,-42,5,0.1,1.5,3,2.5,16,75,0.024,13,0.226130186,crs,6,2,1,-1.107357241
Myosotis sylvatica,124,-71,48,-0.31,3,3,3.48,15,100,0.022,30,0.196171499,crs,2,2,2,-0.87617548
Nigritella nigra agg.,-19,-33,102,-0.2,1.5,2,2.17,19,76,0.084,22,4.52E-05,crs,4,1,2,-1.173324766
Oxalis acetosella,-329,0,-179,-0.03,3,2,3.13,10,63,0.015,10,0.875550563,rss,9,3,4,0.375791085
Oxytropis campestris,-161,-13,-66,-0.42,1.5,2,4.81,8,57,0.011,13,1.633492128,ccs,16,2,1,-0.348705558
Oxytropis montana agg.,-24,-12,54,0.28,1.5,2,6.94,4,46,0.008,27,2.804974396,ccs,14,2,2,-0.084130352
Pedicularis aspleniifolia,111,7,-82,-0.42,1,2,3.43,18,78,0.027,7,0.337657049,css,10,1,2,-0.919431236
Pedicularis rostratocapitata,42,14,-24,-0.19,1.5,2,3.26,12,66,0.017,8,0.764958223,css,8,1,2,-0.946023847
Pedicularis tuberosa,178,52,131,-0.36,1.5,2,2.11,15,73,0.021,22,0.258724087,css,4,2,1,-1.068560283
Pedicularis verticillata,185,300,25,-0.26,1.5,2,2.19,11,66,0.016,18,0.53681474,css,3,2,1,-0.949388904
Persicaria vivipara,9,160,-17,0.12,1.5,2,3.97,9,60,0.013,24,1.360475689,crs,9,2,2,-0.780645736
Peucedanum ostruthium,-24,20,-155,0.93,2,4,1.51,3,27,0.012,65,1.805709557,ccc,8,3,1,2.244858805
Phleum alpinum agg.,-54,298,96,0.74,2,NA,1.69,20,99,0.031,21,-0.61852421,ccs,43,3,2,0.973373722
Phleum hirsutum,131,-230,-341,0.3,2,3,1.81,28,100,0.049,45,-0.702129958,ccs,52,2,6,1.441862496
Phyteuma betonicifolium,58,179,-65,-0.11,2,2,1.34,46,100,0.128,38,-1.625332374,ccs,5,2,1,-0.477223635
Phyteuma hemisphaericum,9,-142,26,-0.03,1.5,2,1.62,35,97,0.072,13,-1.233368873,css,15,2,1,-0.813081853
Phyteuma sieberi,-71,50,59,-0.34,1.5,2,1.27,41,100,0.098,19,-1.593813228,css,5,1,1,-1.225339724
Pinus mugo agg.,-617,-128,-139,0.73,2,2,0.73,1,6,0.003,25,1.746876272,ccc,243,4,5,7.15178972
Plantago alpina,145,-150,113,0.81,1.5,2,3.37,16,74,0.023,10,0.505362796,css,23,2,1,-0.850469001
Plantago atrata,46,320,-169,0.69,1.5,3,7.46,8,58,0.012,13,2.460415595,css,6,2,1,-1.052008712
Plantago strictissima,20,-32,240,0.53,2.5,2,4.61,23,86,0.038,23,0.491480372,css,13,2,2,-0.553776749
Poa nemoralis,5,-64,460,0.15,3,3,1.61,22,84,0.035,72,0.016105321,crs,3,3,6,0.933526542
Polygala alpestris,-21,-169,9,0.31,2,2,2.02,21,79,0.135,11,-0.322575476,ccs,6,1,6,0.609117903
Potentilla aurea,64,-132,4,0.58,1.5,2,3.16,24,87,0.04,8,-0.147178773,ccs,14,1,1,-0.736817643
Potentilla brauneana,695,923,121,1.59,1,3,2.98,17,77,0.025,22,0.380522728,css,1,1,1,-1.40292841
Potentilla crantzii,-117,-384,-39,-0.09,1.5,2,2.7,16,75,0.023,12,0.282525107,ccs,10,2,1,-0.488128234
Potentilla grandiflora,43,243,-16,-0.33,1.5,3,2.23,17,77,0.025,22,0.135570562,ccs,14,2,2,-0.07969825
Primula auricula,-75,171,9,-0.56,1.5,2,2.35,23,86,0.037,12,-0.317823421,css,6,2,1,-0.918384487
Primula hirsuta,-168,1,-52,0,1.5,2,2.14,28,92,0.05,4,-0.763524298,css,6,2,1,-0.918384487
Primula integrifolia,93,25,-66,-0.15,1.5,2,2.17,19,76,0.084,22,4.52E-05,sss,58,3,6,1.862686643
Primula minima,-34,-48,-10,0.03,1.5,2,1.72,32,95,0.063,3,-1.124614122,sss,2,2,1,-0.870386183
Primula wulfeniana,-11,-200,-13,0.05,2,2,2.17,19,76,0.084,22,4.52E-05,css,13,2,2,-0.553776749
Pseudorchis albida,102,-7,34,-0.28,2,1,2.14,20,76,0.092,20,-0.049580566,crs,4,1,2,-1.173324766
Pulsatilla alpina s.lat.,336,2,-12,-0.17,2,3,1.87,2,64,0.005,25,0.863612381,crs,8,2,1,-1.089832048
Pulsatilla vernalis,270,190,50,0.09,2,2,1,7,80,0.01,18,0.011837728,crs,8,2,1,-1.166553493
Ranunculus alpestris,385,421,21,0.21,1.5,2,2.21,23,86,0.037,10,-0.37724707,css,27,3,1,0.091107706
Ranunculus hybridus,-63,45,33,0.22,1.5,2,2.68,1,32,0.004,10,1.707204081,css,2,1,1,-1.262986001
Rhinanthus glacialis,-351,483,279,0.24,2.5,2,2.34,2,19,0.008,42,2.093381296,rrs,1,2,2,-1.22104525
Rhododendron ferrugineum,6,37,73,0.29,2,2,0.89,51,99,0.158,110,-1.361043619,ccs,76,4,3,2.594067621
Rhododendron hirsutum,73,139,73,1.05,2,2,0.91,52,99,0.164,60,-1.805269101,ccs,65,3,3,1.531075242
Rumex alpestris,3,-54,17,0.78,2,4,1.69,4,35,0.018,65,1.658553165,crs,2,3,2,-0.092281928
Rumex scutatus,38,178,177,-0.05,2.5,2,1.42,3,27,0.012,33,1.519615048,css,6,3,3,0.372572122
Salix alpina,-95,103,129,-0.55,2,2,0.28,22,100,0.036,18,-1.188885991,ccs,25,2,2,0.056304553
Salix reticulata,721,192,-57,1.11,1.5,2,0.25,17,97,0.025,5,-1.050028021,css,47,3,1,0.328174685
Salix retusa agg.,335,-45,-16,0.37,1.5,2,0.27,18,97,0.026,20,-0.959009602,css,61,3,3,1.008903714
Saponaria pumila,136,232,33,0,1,2,3.47,12,66,0.017,2,0.782954071,css,13,2,2,-0.553776749
Saussurea alpina,-220,27,-8,-0.57,1.5,2,0.58,7,81,0.011,22,-0.10868034,css,3,2,1,-1.084138231
Saxifraga aizoides,-102,252,155,1.35,2,2,1.35,43,100,0.11,17,-1.669591354,css,17,3,3,0.409959152
Saxifraga androsacea,768,71,2,-0.31,1,2,1.47,45,100,0.12,4,-1.809820318,sss,26,2,4,0.287846539
Saxifraga caesia,94,6,21,-0.04,1.5,1,1.35,50,99,0.153,8,-2.011868533,sss,1,2,1,-1.012453656
Saxifraga paniculata,427,96,-29,-0.2,2,2,1.65,41,100,0.1,23,-1.444547984,sss,13,2,4,0.086879214
Saxifraga rudolphiana,323,62,2,0.15,1,2,2.17,19,76,0.084,22,4.52E-05,css,39,3,3,0.724226713
Selaginella selaginoides,-16,76,-73,0.83,2,2,1.86,22,82,0.165,8,-0.51817345,css,28,2,4,0.212311334
Sempervivum montanum,27,154,8,0.33,1.5,2,1.21,57,95,0.213,9,-2.267610672,sss,4,2,2,-0.490064662
Senecio abrotanifolius,-205,-43,67,0.3,2,3,0.6,17,97,0.026,28,-0.757940228,css,6,2,1,-1.00157508
Senecio carniolicus,132,-8,-68,0.27,1,2,0.76,11,88,0.015,21,-0.347818255,css,5,2,1,-0.929916468
Sesleria ovata,184,-8,-26,-0.41,1,1,0.64,22,99,0.035,8,-1.135187241,css,63,4,3,1.962451617
Sesleria sphaerocephala,-93,272,148,-0.42,1.5,1,2.17,19,76,0.084,22,4.52E-05,css,39,3,3,0.724226713
Sibbaldia procumbens,145,-229,94,-0.08,1,3,3.04,1,9,0.001,4,2.255276204,css,15,2,1,-0.940042206
Silene acaulis s.lat.,9,-2,17,0.17,1,1,2.39,20,82,0.031,3,-0.184805113,css,300,3,4,4.193368911
Silene alpestris,190,535,184,0.9,3,2,1.13,35,75,0.073,20,-0.871437352,crs,2,2,1,-1.155880196
Silene rupestris,91,52,25,-0.34,2.5,2,1.65,20,81,0.03,20,-0.259074654,css,6,2,4,-0.051709138
Soldanella alpina,39,90,-159,1.03,2,3,2.55,24,88,0.041,13,-0.328127,css,6,2,1,-0.918384487
Soldanella minima agg.,240,570,88,1.52,1.5,2,2.62,30,94,0.056,21,-0.593273021,css,13,2,2,-0.553776749
Soldanella pusilla,120,-53,-50,0.25,1.5,2,2.21,39,99,0.089,8,-1.278849537,css,5,2,1,-0.96078558
Thesium alpinum,-107,-22,5,0.11,2,2,2.99,4,72,0.007,17,0.918345794,css,4,1,1,-1.237023185
Thlaspi rotundifolium,11,30,33,-0.21,1.5,2,2.63,8,57,0.011,23,1.023739451,css,6,3,6,1.157701161
Trifolium alpinum,190,135,72,-0.06,1.5,2,2.97,2,64,0.005,24,1.207761659,css,23,1,2,-0.742147161
Trifolium badium,-248,-211,-113,0.63,2,3,2.13,4,35,0.018,17,1.405404241,crs,3,2,4,-0.484795294
Trifolium thalii,-100,114,14,0.21,1.5,3,4.81,11,64,0.015,7,1.333364057,ccs,14,2,1,-0.437499901
Trisetum alpestre,-14,15,96,1,1.5,2,0.75,11,89,0.015,23,-0.361885996,ccs,25,2,2,0.056304553
Trollius europaeus,-66,125,47,0.39,2.5,3,3.22,12,67,0.017,42,1.008467904,ccs,28,2,2,0.230402687
Vaccinium myrtillus,-34,289,57,0.29,2.5,2,2.6,0,14,0.002,22,2.193133152,ccs,23,5,1,0.344994822
Vaccinium uliginosum agg.,173,-5,81,0.02,NA,2,3.23,9,1,0,26,2.382071375,ccs,43,3,3,1.234124416
Valeriana celtica,52,2,12,0.32,1,2,1.68,12,90,0.016,10,-0.222014033,css,13,2,2,-0.553776749
Valeriana montana,-478,-72,75,0.6,2,2,1.07,10,87,0.014,40,-0.037225056,css,6,3,1,-0.244314981
Valeriana tripteris,-179,-246,267,0.13,2.5,2,2.23,12,91,0.017,35,0.134221588,css,7,2,1,-0.906549545
Veronica alpina,-19,57,-8,0,1.5,2,1,39,99,0.091,7,-1.673793103,css,2,2,4,-0.310692654
Veronica aphylla,221,-273,-131,1.39,1.5,2,1.31,34,97,0.07,6,-1.350591183,css,2,2,1,-0.84865144
Veronica bellidioides,244,18,11,-0.34,1,2,1.52,34,96,0.068,13,-1.204141857,css,4,2,1,-1.010921837
Veronica fruticans,81,-260,90,0.31,1.5,2,1.99,30,94,0.057,10,-0.8832946,css,8,2,6,0.417576802
Veronica serpyllifolia,-321,26,99,0.33,3.5,4,1.52,43,100,0.111,14,-1.63413011,crs,3,3,1,-0.380863587
Viola biflora,54,-13,42,0.6,2,4,3.01,16,75,0.023,12,0.379170712,css,2,3,1,-0.24992302
Viola calcarata,33,25,24,0.25,1.5,2,1.97,22,81,0.154,7,-0.443906548,ccs,7,3,1,0.280815347